91.850000,27_04_2021_11_38_55
71.550000,29_04_2021_15_46_21
209.300000,06_05_2021_08_57_14
189.450000,06_05_2021_10_33_37
102.200000,18_05_2021_10_33_56,3015.200000
87.100000,18_05_2021_11_24_11,3015.200000
68.900000,18_05_2021_11_57_50,3015.200000
0.000000,18_05_2021_18_29_49,3015.200000
0.000000,18_05_2021_19_28_09,3015.300000
0.000000,18_05_2021_20_26_28,3015.200000
0.000000,18_05_2021_21_24_47,3015.200000
0.000000,18_05_2021_22_23_07,3015.200000
0.000000,18_05_2021_23_21_26,3015.200000
0.000000,19_05_2021_00_19_46,3015.200000
0.000000,19_05_2021_01_18_05,3015.300000
0.000000,19_05_2021_02_16_25,3015.200000
0.000000,19_05_2021_03_14_44,3015.200000
0.000000,19_05_2021_04_13_03,3015.200000
0.000000,19_05_2021_05_11_23,3015.300000
0.000000,19_05_2021_06_09_43,3015.300000
0.000000,19_05_2021_07_08_03,3015.200000
0.000000,19_05_2021_08_06_22,3015.200000
0.000000,19_05_2021_09_04_42,3015.200000
