176.800000,05_05_2021_17_06_34
128.250000,11_05_2021_18_44_49
177.050000,12_05_2021_08_47_08
164.350000,12_05_2021_09_50_22
145.700000,12_05_2021_10_22_58
115.600000,18_05_2021_10_27_45,3015.200000
105.050000,18_05_2021_11_18_00,3015.200000
111.100000,18_05_2021_11_51_39,3015.200000
190.100000,18_05_2021_18_36_00,3015.200000
205.900000,18_05_2021_19_34_20,3015.200000
198.650000,18_05_2021_20_32_39,3015.200000
203.650000,18_05_2021_21_30_59,3015.200000
203.750000,18_05_2021_22_29_18,3015.300000
196.700000,18_05_2021_23_27_37,3015.200000
178.250000,19_05_2021_00_25_57,3015.200000
151.750000,19_05_2021_01_24_16,3015.200000
152.800000,19_05_2021_02_22_36,3015.300000
150.100000,19_05_2021_03_20_55,3015.200000
8.650000,19_05_2021_04_19_15,3015.300000
0.000000,19_05_2021_05_17_35,3015.200000
0.000000,19_05_2021_06_15_54,3015.200000
0.000000,19_05_2021_07_14_14,3015.200000
0.000000,19_05_2021_08_12_34,3015.200000
0.000000,19_05_2021_09_10_53,3015.200000
