353.250000,05_05_2021_17_05_32
329.350000,18_05_2021_10_31_52,3015.200000
376.050000,18_05_2021_18_33_57,3015.300000
372.650000,18_05_2021_19_32_16,3015.200000
356.100000,18_05_2021_20_30_35,3015.200000
341.450000,18_05_2021_21_28_55,3015.200000
330.550000,18_05_2021_22_27_14,3015.300000
330.500000,18_05_2021_23_25_33,3015.200000
325.100000,19_05_2021_00_23_53,3015.200000
320.900000,19_05_2021_01_22_13,3015.300000
315.150000,19_05_2021_02_20_32,3015.300000
306.850000,19_05_2021_03_18_51,3015.300000
303.750000,19_05_2021_04_17_11,3015.200000
298.950000,19_05_2021_05_15_31,3015.200000
294.600000,19_05_2021_06_13_51,3015.200000
291.900000,19_05_2021_07_12_10,3015.200000
289.000000,19_05_2021_08_10_30,3015.200000
288.450000,19_05_2021_09_08_49,3015.200000
234.950000,19_05_2021_16_27_30,3015.200000
231.750000,19_05_2021_17_25_50,3015.200000
230.850000,19_05_2021_18_24_10,3015.200000
230.950000,19_05_2021_19_22_29,3015.200000
228.650000,19_05_2021_20_20_49,3015.200000
227.500000,19_05_2021_21_19_09,3015.200000
226.550000,19_05_2021_22_17_28,3015.200000
227.150000,19_05_2021_23_15_48,3015.200000
228.550000,20_05_2021_00_14_08,3015.200000
226.200000,20_05_2021_01_12_28,3015.200000
227.800000,20_05_2021_02_10_47,3015.200000
228.600000,20_05_2021_03_09_07,3015.200000
225.900000,20_05_2021_04_07_27,3015.200000
228.000000,20_05_2021_05_05_47,3015.200000
229.950000,20_05_2021_06_04_06,3015.200000
226.000000,20_05_2021_07_02_26,3015.200000
229.150000,20_05_2021_08_00_45,3015.200000
231.750000,20_05_2021_08_59_05,3015.200000
