MSU01606,0.0,0.0,12.08.2020_13_46_44,3: Only Vacuumed,1: Error Described in Comment,wire pulled out of ferrule,mike,Protvino
MSU01635,-9.82,-0.20,12.08.2020_13_58_12,3: Only Vacuumed,7: 0.8mm shim fits,Crimper sheet metal had fallen off before i came in I replaced it before making this tube Tubes made earlier today may be effected,hayden,Protvino
MSU01637,-9.77,-0.20,12.08.2020_14_02_40,3: Only Vacuumed,7: 0.8mm shim fits,,hayden,Protvino
MSU01632,-9.79,-0.20,12.08.2020_14_06_53,3: Only Vacuumed,7: 0.8mm shim fits,,hayden,Protvino
MSU01625,-9.90,-0.15,12.08.2020_14_10_26,3: Only Vacuumed,7: 0.8mm shim fits,,hayden,Protvino
MSU01611,-9.81,-0.20,12.08.2020_14_13_44,3: Only Vacuumed,7: 0.8mm shim fits,,hayden,Protvino
MSU01720,-9.80,-0.21,12.08.2020_14_17_09,3: Only Vacuumed,7: 0.8mm shim fits,,hayden,Protvino
MSU01700,-9.79,-0.09,12.08.2020_14_20_08,3: Only Vacuumed,7: 0.8mm shim fits,,hayden,Protvino
MSU01704,-9.81,-0.05,12.08.2020_14_23_50,3: Only Vacuumed,7: 0.8mm shim fits,,hayden,Protvino
MSU01692,-9.79,-0.14,12.08.2020_14_27_01,3: Only Vacuumed,7: 0.8mm shim fits,,hayden,Protvino
MSU01693,-9.70,-0.08,12.08.2020_14_30_39,3: Only Vacuumed,7: 0.8mm shim fits,,hayden,Protvino
MSU01707,-9.79,-0.19,12.08.2020_14_34_51,3: Only Vacuumed,7: 0.8mm shim fits,,hayden,Protvino
MSU01634,-9.81,-0.16,12.08.2020_14_40_51,3: Only Vacuumed,7: 0.8mm shim fits,,hayden,Protvino
MSU01706,-9.81,-0.12,12.08.2020_14_44_42,3: Only Vacuumed,7: 0.8mm shim fits,,hayden,Protvino
MSU01688,-9.85,-0.03,12.08.2020_14_48_25,3: Only Vacuumed,7: 0.8mm shim fits,,hayden,Protvino
MSU01691,-9.78,-0.13,12.08.2020_14_51_53,3: Only Vacuumed,7: 0.8mm shim fits,,hayden,Protvino
MSU01687,-9.82,-0.14,12.08.2020_14_55_18,3: Only Vacuumed,7: 0.8mm shim fits,,hayden,Protvino
MSU01717,-9.84,-0.19,12.08.2020_14_58_25,3: Only Vacuumed,7: 0.8mm shim fits,,hayden,Protvino
MSU01711,-9.84,-0.11,12.08.2020_15_01_46,3: Only Vacuumed,7: 0.8mm shim fits,,hayden,Protvino
MSU01712,-9.80,-0.11,12.08.2020_15_04_55,3: Only Vacuumed,7: 0.8mm shim fits,,hayden,Protvino
MSU01776,-9.86,-0.23,12.08.2020_15_08_49,3: Only Vacuumed,7: 0.8mm shim fits,,hayden,Protvino
MSU01800,-9.77,-0.08,12.08.2020_15_12_23,3: Only Vacuumed,7: 0.8mm shim fits,,hayden,Protvino
MSU01750,-9.85,-0.07,12.08.2020_15_29_06,3: Only Vacuumed,7: 0.8mm shim fits,,hayden,Protvino
MSU01749,-9.79,-0.15,12.08.2020_15_32_06,3: Only Vacuumed,7: 0.8mm shim fits,,hayden,Protvino
MSU01748,-9.74,-0.09,12.08.2020_15_35_38,3: Only Vacuumed,7: 0.8mm shim fits,,hayden,Protvino
MSU01761,-9.81,-0.18,12.08.2020_15_38_51,3: Only Vacuumed,7: 0.8mm shim fits,,hayden,Protvino
MSU01760,-9.82,-0.17,12.08.2020_15_42_40,3: Only Vacuumed,7: 0.8mm shim fits,,hayden,Protvino
MSU01754,-9.84,-0.17,12.08.2020_15_45_59,3: Only Vacuumed,7: 0.8mm shim fits,,hayden,Protvino
MSU01762,-9.84,-0.25,12.08.2020_15_48_53,3: Only Vacuumed,7: 0.8mm shim fits,,hayden,Protvino
MSU01753,-9.86,-0.03,12.08.2020_15_52_20,3: Only Vacuumed,7: 0.8mm shim fits,,hayden,Protvino
MSU01764,-9.93,-0.21,12.08.2020_15_55_02,3: Only Vacuumed,7: 0.8mm shim fits,,hayden,Protvino
MSU01774,-9.83,-0.13,12.08.2020_15_58_14,3: Only Vacuumed,7: 0.8mm shim fits,,hayden,Protvino
MSU01795,-9.82,-0.24,12.08.2020_16_02_27,3: Only Vacuumed,7: 0.8mm shim fits,,hayden,Protvino
MSU01804,-9.89,-0.25,12.08.2020_16_06_01,3: Only Vacuumed,8: 1.6mm shim fits,,hayden,Protvino
MSU01810,-9.89,-0.17,12.08.2020_16_09_27,3: Only Vacuumed,7: 0.8mm shim fits,,hayden,Protvino
MSU01813,-9.89,-0.19,12.08.2020_16_12_44,3: Only Vacuumed,7: 0.8mm shim fits,,hayden,Protvino
MSU01816,-9.91,-0.18,12.08.2020_16_15_43,3: Only Vacuumed,7: 0.8mm shim fits,,hayden,Protvino
MSU01815,-8.88,-0.26,12.08.2020_16_18_30,3: Only Vacuumed,7: 0.8mm shim fits,,hayden,Protvino
MSU01817,-9.88,-0.21,12.08.2020_16_21_47,3: Only Vacuumed,7: 0.8mm shim fits,,hayden,Protvino
