MSU02681,-9.72,0.08,01.26.2021_10_47_33,3: Only Vacuumed,0: No Error,,Colin,Protvino
MSU02669,-9.78,0.00,01.26.2021_10_56_25,3: Only Vacuumed,7: 0.8mm shim fits,,Colin,Protvino
MSU02680,-9.71,0.01,01.26.2021_11_07_24,3: Only Vacuumed,0: No Error,,Colin,Protvino
MSU02679,-9.72,-0.02,01.26.2021_11_41_50,3: Only Vacuumed,0: No Error,,Colin,Protvino
MSU02678,-9.90,-0.09,01.26.2021_11_48_47,3: Only Vacuumed,7: 0.8mm shim fits,,Colin,Protvino
MSU02677,-9.76,2.18,01.26.2021_11_59_02,3: Only Vacuumed,2: Swaged Improperly,,Colin,Protvino
MSU02676,-9.76,-0.14,01.26.2021_12_18_10,3: Only Vacuumed,0: No Error,,Colin,Protvino
MSU02681,-9.72,0.08,01.26.2021_12_39_43,3: Only Vacuumed,3: Wire Snapped,Wire snapped while tensioning.,Dravin,Protvino
MSU02675,-9.74,-0.01,01.26.2021_13_45_17,3: Only Vacuumed,0: No Error,,Dravin,Protvino
MSU02674,-9.70,0.01,01.26.2021_13_54_04,3: Only Vacuumed,0: No Error,,Dravin,Protvino
MSU02673,-9.75,0.00,01.26.2021_14_03_49,3: Only Vacuumed,0: No Error,,Dravin,Protvino
MSU02672,-9.79,-0.12,01.26.2021_14_10_27,3: Only Vacuumed,0: No Error,,Dravin,Protvino
MSU02605,-9.82,-0.03,01.26.2021_14_18_22,3: Only Vacuumed,0: No Error,,Dravin,Protvino
MSU02606,-9.84,-0.11,01.26.2021_14_25_07,3: Only Vacuumed,0: No Error,,Dravin,Protvino
MSU02607,-9.91,-0.25,01.26.2021_14_31_23,3: Only Vacuumed,0: No Error,,Dravin,Protvino
MSU02608,-9.93,-0.19,01.26.2021_14_37_11,3: Only Vacuumed,0: No Error,,Dravin,Protvino
